Receiving_Yards,Fantasy_Points,Tested_Fantasy_Points,Predicted_Fantasy_Points,Name
90.25,30.2,30.2,9.253979667781397,Michael Thomas
112.9090909090909,4.8,4.8,10.176339360171031,Michael Thomas
110.85714285714286,19.6,19.6,8.720557424003141,Michael Thomas
112.53333333333333,3.7,3.7,8.738520398537403,Michael Thomas
110.5,30.6,30.6,9.097779889222611,Keenan Allen
134.66666666666666,4.8,4.8,9.360015286687652,Keenan Allen
113.0,1.8,1.8,8.912292652184053,Keenan Allen
83.83333333333333,6.1,6.1,9.132924839398338,Keenan Allen
80.57142857142857,5.3,5.3,9.425799424196063,Keenan Allen
73.0,8.6,8.6,9.419941932500109,Keenan Allen
72.5,13.1,13.1,9.284438624600362,Keenan Allen
74.46666666666667,14.2,14.2,8.711185437289615,Keenan Allen
111.0,4.0,4.0,9.168069789574066,DeAndre Hopkins
75.5,6.7,6.7,8.89472017709619,DeAndre Hopkins
72.66666666666667,2.1,2.1,9.454250098147842,DeAndre Hopkins
69.4,7.5,7.5,8.370549766355646,DeAndre Hopkins
67.0,16.6,16.6,9.189156759679502,DeAndre Hopkins
67.0,12.2,12.2,9.404712454090626,Julian Edelman
65.33333333333333,3.0,3.0,9.654241600338288,Julian Edelman
73.66666666666667,9.9,9.9,9.624954141858517,Julian Edelman
71.6,9.3,9.3,9.618259865634567,Julian Edelman
77.6923076923077,0.9,0.9,9.265694651173307,Julian Edelman
72.78571428571429,9.2,9.2,7.937996533423622,Julian Edelman
31.0,22.6,22.6,8.266016068397073,Julio Jones 
79.25,4.2,4.2,9.447927726158557,Julio Jones 
71.8,10.8,10.8,9.361367015540564,Julio Jones 
88.46153846153847,16.6,16.6,10.351283112156873,Julio Jones 
75.4,14.7,14.7,9.320364573668883,Allen Robinson
66.5,8.6,8.6,8.269921062861043,Allen Robinson
89.0,17.9,17.9,8.746330387465342,Cooper Kupp
97.0,17.7,17.7,8.326933982035001,Cooper Kupp
101.0,1.7,1.7,9.315678580312118,Cooper Kupp
81.71428571428571,28.0,28.0,9.492184330083546,Cooper Kupp
83.33333333333333,3.3,3.3,8.59208310613854,Tyler Boyd
70.75,18.3,18.3,8.750235381929311,Tyler Boyd
64.07692307692308,2.6,2.6,9.082159911366732,Tyler Boyd
51.5,5.8,5.8,9.503899313475456,Robert Woods
76.75,4.8,4.8,10.187273344670146,Robert Woods
