Carries,Rush_Yards,Rush_TD,Receiving_Yards,Fantasy_Points,Tested_Fantasy_Points,Predicted_Fantasy_Points,Name
17.0,70.0,1.0,29.666666666666668,10.8,10.8,15.148621952711203,Derrick Henry 
18.7,83.2,0.8,16.7,27.5,27.5,8.66387178822836,Derrick Henry 
18.727272727272727,90.0909090909091,0.9090909090909091,16.636363636363637,20.6,20.6,10.805798134900037,Derrick Henry 
19.357142857142858,94.92857142857143,0.9285714285714286,14.714285714285714,39.1,39.1,11.12447409084466,Derrick Henry 
13.0,53.0,1.0,10.0,18.0,18.0,11.111058224892695,Ezekiel Elliott
18.333333333333332,96.33333333333333,0.6666666666666666,11.0,10.5,10.5,11.887269358884886,Ezekiel Elliott
18.25,81.0,0.75,15.75,15.1,15.1,8.58154121045244,Ezekiel Elliott
18.833333333333332,81.83333333333333,0.8333333333333334,23.333333333333332,20.7,20.7,12.487218017643261,Ezekiel Elliott
17.0,75.0,0.0,10.0,15.8,15.8,9.38005745641808,Nick Chubb
19.333333333333332,77.66666666666667,0.3333333333333333,27.0,36.3,36.3,11.483024088735469,Nick Chubb
19.0,101.16666666666667,1.0,21.333333333333332,9.8,9.8,9.96080056754471,Nick Chubb
19.142857142857142,105.42857142857143,0.8571428571428571,19.285714285714285,9.1,9.1,6.849642802309589,Nick Chubb
21.5,102.75,1.0,54.5,41.7,41.7,11.039727554405994,Christian McCaffrey 
21.166666666666668,103.0,1.1666666666666667,50.833333333333336,23.5,23.5,10.704527011526988,Christian McCaffrey 
18.923076923076923,93.84615384615384,0.9230769230769231,55.84615384615385,29.5,29.5,9.163808301885386,Christian McCaffrey 
18.8,76.0,0.2,21.0,21.9,21.9,15.935008999026458,Chris Carson
19.285714285714285,85.0,0.5,17.571428571428573,6.0,6.0,9.856108861800958,Chris Carson
8.5,13.5,0.0,8.5,15.4,15.4,10.836291191534965,Joe Mixon
11.75,37.25,0.0,13.0,10.9,10.9,8.50658704531486,Joe Mixon
14.555555555555555,48.22222222222222,0.0,16.333333333333332,16.3,16.3,11.139412098847908,Joe Mixon
15.25,53.583333333333336,0.16666666666666666,15.833333333333334,24.6,24.6,10.614113804726399,Joe Mixon
14.333333333333334,59.666666666666664,0.0,31.333333333333332,24.5,24.5,10.223019921372721,Leonard Fournette 
18.0,101.0,0.0,28.5,19.7,19.7,13.161904392981238,Leonard Fournette 
19.0,102.4,0.2,28.6,11.8,11.8,9.586186577412274,Leonard Fournette 
20.571428571428573,102.14285714285714,0.14285714285714285,29.0,13.6,13.6,10.431534558408764,Leonard Fournette 
